fiscal_year,category,sub_category,value,unit,note
2005-06,Total Expenditure on Education by Education and Other Departments,States and Centre,113229,value in Crore Rupees,
2005-06,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.66,value in percentage,
2005-06,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.68,value in percentage,
2005-06,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.34,value in percentage,
2004-05,GDP at Current Prices,GDP at Current Prices,2971464,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education Department,States,68170,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education Department,Centre,13111,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education Department,States and Centre,81281,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education Department,States as % of GDP,2.29,value in percentage,
2004-05,Total Expenditure on Education by Education Department,Centre as % of GDP,0.44,value in percentage,
2004-05,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.74,value in percentage,
2004-05,Total Expenditure on Education by Education and Other Departments,States,78668,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education and Other Departments,Centre,18026,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education and Other Departments,States and Centre,96694,value in Crore Rupees,
2004-05,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.65,value in percentage,
2004-05,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.61,value in percentage,
2004-05,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.26,value in percentage,
2003-04,GDP at Current Prices,GDP at Current Prices,2622216,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education Department,States,62867,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education Department,Centre,10177,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education Department,States and Centre,73045,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education Department,States as % of GDP,2.4,value in percentage,
2003-04,Total Expenditure on Education by Education Department,Centre as % of GDP,0.39,value in percentage,
2003-04,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.79,value in percentage,
2003-04,Total Expenditure on Education by Education and Other Departments,States,71978,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education and Other Departments,Centre,17101,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education and Other Departments,States and Centre,89079,value in Crore Rupees,
2003-04,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.74,value in percentage,
2003-04,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.65,value in percentage,
2003-04,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.4,value in percentage,
2002-03,GDP at Current Prices,GDP at Current Prices,2338200,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education Department,States,59472,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education Department,Centre,9089,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education Department,States and Centre,68562,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education Department,States as % of GDP,2.54,value in percentage,
2002-03,Total Expenditure on Education by Education Department,Centre as % of GDP,0.39,value in percentage,
2002-03,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.93,value in percentage,
2002-03,Total Expenditure on Education by Education and Other Departments,States,69351,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education and Other Departments,Centre,16157,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education and Other Departments,States and Centre,85507,value in Crore Rupees,
2002-03,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.97,value in percentage,
2002-03,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.69,value in percentage,
2002-03,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.66,value in percentage,
2001-02,GDP at Current Prices,GDP at Current Prices,2167745,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education Department,States,56811,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education Department,Centre,8037,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education Department,States and Centre,64848,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education Department,States as % of GDP,2.62,value in percentage,
2001-02,Total Expenditure on Education by Education Department,Centre as % of GDP,0.37,value in percentage,
2001-02,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.99,value in percentage,
2001-02,Total Expenditure on Education by Education and Other Departments,States,65746,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education and Other Departments,Centre,14120,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education and Other Departments,States and Centre,79866,value in Crore Rupees,
2001-02,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.03,value in percentage,
2001-02,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.65,value in percentage,
2001-02,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.68,value in percentage,
2000-01,GDP at Current Prices,GDP at Current Prices,1991982,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education Department,States,54573,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education Department,Centre,7925,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education Department,States and Centre,62498,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education Department,States as % of GDP,2.74,value in percentage,
2000-01,Total Expenditure on Education by Education Department,Centre as % of GDP,0.4,value in percentage,
2000-01,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.14,value in percentage,
2000-01,Total Expenditure on Education by Education and Other Departments,States,72291,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education and Other Departments,Centre,10196,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education and Other Departments,States and Centre,82486,value in Crore Rupees,
2000-01,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.63,value in percentage,
2000-01,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.51,value in percentage,
2000-01,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.14,value in percentage,
